Name,R_Gal,e_Rm,e_Rp,Te,e_Te
G003.350-0.077,5.307664945296127,0.27282008374262023,0.29292634447575683,6500.0,700.0
G004.417+0.125,5.214043789124604,0.30151327979736564,0.29689246849707907,6600.0,1000.0
G005.475-0.244,3.81865516871936,1.1371653144926368,1.1663802965137249,6800.0,800.0
G005.907-0.427,6.451949795873249,0.7488052523223523,0.7334328256645293,7600.0,500.0
G006.552-0.095,6.0266425116720175,1.3485848447106008,1.366094166925584,6700.0,400.0
G007.472+0.058,12.325860269480062,2.4440775197627875,2.4419564555243127,9700.0,600.0
G007.254-0.075,2.953110316833606,0.9898176332967383,1.0243830478857658,3600.0,1000.0
G007.177+0.088,5.335044512038229,0.28324898539915555,0.2850680728157835,4200.0,1000.0
G008.140+0.225,5.247481594493424,0.2915366885436672,0.29584174077247294,7400.0,400.0
G008.669-0.355,3.9071459754755558,0.40766440474239474,0.42412828996641583,8800.0,700.0
G008.662-0.342,4.154419862308863,0.42726499217153746,0.41860795524886285,5900.0,600.0
G008.872-0.319,4.292531859304648,0.4433895046819387,0.47264064101830705,6500.0,900.0
G008.375-0.349,3.900106916931515,0.4224596271175187,0.4046561510223561,3200.0,900.0
G008.357-0.307,3.8045624358880072,0.4236274608634827,0.43404022318491275,6500.0,1400.0
G009.617+0.196,3.2388221180809014,0.5411459148358571,0.5612541626674297,5400.0,500.0
G009.615+0.201,3.2387552044778816,0.5236687235355544,0.5670416136947454,6300.0,1200.0
G009.875-0.749,5.270015634574162,0.28579017748737634,0.2887091767737644,6300.0,1200.0
G010.624-0.384,3.4577258095011967,0.41193800713359074,0.43637060283335405,11500.0,800.0
G010.597-0.384,3.5559840367527675,0.42110238194055594,0.438609552935052,7000.0,600.0
G010.162-0.360,5.177694468746756,0.29816577490941576,0.2919238384745899,10100.0,500.0
G010.320-0.157,5.352879649965851,0.2819416491743665,0.29421759542178805,6600.0,400.0
G010.302-0.147,5.854461001124694,0.22758294050297234,0.2322172494432717,7600.0,500.0
G010.462+0.033,1.5664343234569846,0.08716050064635406,0.2503843262379333,6500.0,700.0
G010.440+0.011,3.0257410645469216,0.8612585533936241,0.9540431805564813,5600.0,1100.0
G010.965+0.008,5.765289179850335,0.24260624917301143,0.23553341430011798,6500.0,1200.0
G010.322-0.260,4.797857430426369,0.3275185536238929,0.3293545990882327,6000.0,1000.0
G010.197-0.424,6.9732973195394194,0.9664244237748427,0.8287377450365971,3000.0,300.0
G010.142-0.422,6.6212835234200265,0.9343369787059945,0.9198484086416885,3600.0,700.0
G010.069-0.425,6.0559271845410505,0.739249780811333,0.7953942007909713,5800.0,900.0
G010.229-0.297,6.612036355122616,0.8983199459188107,0.899528010102383,2900.0,200.0
G010.229-0.349,6.612045854403929,0.941163119951173,0.8952992413610863,2200.0,400.0
G011.937-0.615,5.206938226141919,0.29321769473579984,0.2853099159072494,8200.0,600.0
G011.945-0.037,4.695062025215294,1.108188573584623,1.1586112856664448,7300.0,500.0
G011.110-0.399,8.895488074333135,1.6422163628092568,1.6520831464564747,5300.0,600.0
G011.909+0.738,5.491085680528019,0.2690317285080672,0.2618720013721818,8600.0,1400.0
G012.805-0.200,5.391625207549526,0.2890265938238503,0.2935930573082617,7200.0,400.0
G012.805-0.224,5.269430466884289,0.46916130480078344,0.44950890774021435,5200.0,400.0
G012.194-0.125,5.400297759831571,0.2698161586241081,0.276574693695121,8800.0,1300.0
G012.207-0.102,5.657643898424797,1.2522293763131511,1.2738843406024856,7000.0,1300.0
G012.192-0.104,5.494978849438247,0.4864898658597099,0.47313774319446367,8600.0,1600.0
G012.684-0.184,5.882241683445874,0.15246824781803525,0.15530933351988008,5900.0,1000.0
G012.724-0.225,4.81058116653025,0.4671212522335342,0.482169317016103,3300.0,500.0
G012.912-0.282,5.421720419077456,0.48273855297282076,0.49484447261130704,4000.0,600.0
G012.865-0.240,5.317470814398368,0.2711056127850968,0.27823680309116483,6400.0,1800.0
G013.874+0.281,4.475882369988476,0.32731169139874794,0.3312249242147196,5600.0,300.0
G013.210-0.144,3.8673736574980397,0.39929430731145654,0.40256435730926876,4900.0,300.0
G013.385+0.066,6.462346118325679,0.1706451558593276,0.17489603232014783,7100.0,600.0
G013.542-0.182,7.189170203080683,1.4302207469594928,1.4555297254621067,7000.0,1900.0
G013.184+0.050,4.1047211492991265,0.2635768212492695,0.2742119175174196,7500.0,500.0
